,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
199710,-5.6123,-3.5747,-3.899,-1.1108,-1.087,-6.1866,-4.6627,-3.8872,-2.9471,-3.477,-6.2714,-3.6099,-3.6108,-2.2331,-3.7237,-6.5932,-5.7344,-2.3935,-3.8345,-6.0277,-2.3612,-4.0069,-3.176,-2.1296,-3.0947
199711,-3.4627,-3.2357,-2.0499,-0.1484,-0.4392,-3.3198,-2.3674,-0.8348,0.5467,-0.5872,-3.2773,-2.7198,1.9885,2.6438,0.5965,0.7388,0.68,3.5353,3.8097,2.9199,5.3476,5.2146,2.9576,4.6689,2.2895
199712,-6.0356,-3.2629,-0.7643,0.0889,1.4746,-0.7139,-1.8697,1.6424,3.7489,2.2848,0.9001,0.3795,2.9218,4.773,2.8629,-1.7435,1.9511,3.5182,6.1795,0.9527,1.1728,1.6583,3.505,3.1665,5.0221
199801,0.2279,-0.7676,-1.2009,-1.1475,-0.6095,-0.0144,-1.1159,-2.4389,-2.1644,-1.5739,-0.4146,-2.0238,-1.708,-4.4568,2.6879,-1.8555,-0.0247,-2.4236,-1.2735,1.3512,3.9468,-0.2214,-3.3741,0.1598,0.6155
199802,6.0486,6.8894,5.6338,5.8453,6.607,9.0871,8.26,9.3237,7.0336,7.0867,8.9992,9.345,7.0023,8.7816,8.7415,9.6227,7.5878,7.0484,5.7978,6.4667,7.2358,6.1607,9.1163,7.0401,9.399
199803,5.1847,5.0925,5.4667,4.746,4.9622,4.5716,5.9706,2.6685,4.327,4.6865,4.1881,3.0852,4.8911,4.3134,6.466,3.7108,5.4293,5.1348,4.0876,7.5435,4.5818,5.1381,5.515,7.4355,7.3942
199804,2.227,2.869,3.6003,2.7699,2.3869,-0.273,1.5777,0.9991,2.5722,1.8794,1.1255,-0.3159,0.5698,-0.1671,1.1969,-0.112,-0.0768,0.212,0.0415,1.1835,1.181,1.7659,1.5544,0.9843,1.4047
199805,-6.246,-7.089,-3.3631,-2.9017,-2.5947,-8.6356,-5.9467,-5.1676,-2.7693,-3.7226,-7.373,-6.3131,-4.7839,-4.3334,-3.2385,-5.3988,-2.9697,-3.6266,-2.175,-3.54,-2.3471,-1.652,-2.7127,-0.8779,4.2974
199806,-0.503,1.2253,-1.4892,-0.8631,-1.6698,1.8799,-1.2512,-0.7638,-0.8419,-0.1716,3.7796,-1.8005,-1.4434,0.5239,-0.2731,1.1155,-0.0783,0.4739,1.2145,-0.1522,7.6651,1.4059,2.7947,3.2923,2.9925
199807,-7.6157,-7.6007,-5.5747,-6.1936,-5.9149,-7.5841,-7.2817,-9.5754,-8.2115,-7.3043,-8.1433,-7.2919,-8.0645,-8.9299,-7.3318,-5.7317,-5.8558,-5.3577,-5.0431,-4.2607,-0.0025,-0.3122,-2.5557,-4.0965,-0.5783
